Fireplaces,SalePrice,LotArea,BsmtFinSF1
0,117000,10998,408
0,83000,1953,309
0,167500,9735,0
0,58500,8212,203
2,237500,12925,865
0,157000,7200,0
0,112000,25339,0
0,105000,9060,204
0,125500,5436,735
2,250000,16692,790
1,136000,8520,168
2,377500,14892,1320
1,131000,6000,375
0,235000,9100,1400
0,124000,8944,0
1,123000,7838,769
1,163000,10800,0
1,246578,4045,1070
1,281213,12665,0
2,160000,57200,353
0,137500,6120,0
0,138000,7200,180
1,137450,6171,264
1,120000,6000,0
1,193000,7415,759
1,193879,6762,0
0,282922,15256,929
0,105000,10410,0
1,275000,3842,1373
0,133000,8445,656
0,112000,8780,625
0,125500,7740,0
1,215000,20544,0
0,230000,12420,666
0,140000,9600,120
0,90000,7200,0
1,257000,10994,976
1,207000,13053,0
1,175900,3635,988
0,122500,11340,0
1,340000,16545,781
0,124000,9204,25
1,223000,16381,1110
1,179900,11700,404
1,127500,4043,360
0,136500,4435,686
1,274970,19690,0
1,144000,9503,457
0,142000,10721,0
2,271000,10944,1000
1,140000,10930,580
2,119000,7200,510
1,182900,12546,678
1,192140,21930,0
0,143750,4928,958
0,64500,10800,0
1,186500,10261,0
1,160000,17400,936
1,174000,8400,0
0,120500,9000,616
1,394617,12444,1336
0,149700,7407,600
1,197000,11584,315
1,191000,11526,0
1,149300,4426,697
1,310000,11003,765
1,121000,8854,0
0,179600,8500,0
0,129000,8400,187
0,157900,26142,593
1,240000,10000,1079
0,112000,11767,0
0,92000,1533,553
0,136000,9000,0
1,287090,9262,0
0,145000,3675,547
0,84500,17217,0
0,185000,7500,410
1,175000,7917,0
2,210000,13175,790
2,266500,9042,275
0,142125,9717,49
0,147500,9937,830
